Test Name,Description,Duration,Test Type,Remote Testing,Adaptive/IRT Support,Job Levels,Languages,Test URL
Hospitality Manager Solution,"The Hospitality Manager solution is designed for management level positions in the hospitality industry. Sample tasks include overall property management, managing staff and managing the guest experience. The solution is focused on managing business operations, managing staff, solving problems, making good decisions and maintaining focus on the customer. Potential job titles that use this solution are: Property Manager, Property Director, Hotel Manager and Hospitality Manager. Multiple configurations of this solution are available.",57,"A,B,K,P",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/
Host Solution,"The Host solution is designed for entry level positions in the hospitality industry. Sample tasks include greeting guests, managing wait lists and showing guests to their tables. The solution is focused on work ethic and customer focus. Potential job titles that use this solution are: Host, Hostess and Greeter. There are multiple configurations and versions of this solution available.",30,"B,P",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/host-solution/
Industrial - Entry Level 7.0 Solution,"Our Industrial – Entry Level 7.0 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.",20,B,yes,no,Entry-Level,"French (Canada), English (USA), English International, Latin American Spanish",https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/
Industrial - Entry Level 7.1 (Americas),"Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".",20,B,yes,no,Entry-Level,"English (USA), French (Canada), Portuguese (Brazil), Latin American Spanish",https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/
Industrial - Entry Level 7.1 (International),"Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".",20,B,yes,no,Entry-Level,"Dutch, Norwegian, German, English International, Portuguese (Brazil), English (USA), French (Canada)",https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/
Industrial - Professional and Skilled 7.0 Solution,"Our Industrial – Professional and Skilled 7.0 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.",49,"A,B",yes,yes,Entry-Level,"Latin American Spanish, English (USA), English International, French (Canada)",https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/
Industrial - Semi-skilled 7.1 (Americas),"Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. The solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. Potential job titles that use this solution include: Production and Assembly Worker, Construction Worker, Extraction Technician.
Please note this package is in Americas norm.",24,B,yes,no,Entry-Level,"English (USA), Portuguese (Brazil), French (Canada)",https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/
Industrial - Semi-skilled 7.1 (International),"Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. The solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. Potential job titles that use this solution include: Production and Assembly Worker, Construction Worker, Extraction Technician.
Please note this package is in International norm.",24,B,yes,no,Entry-Level,"French (Canada), Finnish, English International, French, Danish, Norwegian, Swedish",https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/
Industrial Professional and Skilled 7.1 (Americas),"Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".",49,"A,B",yes,no,Entry-Level,"Portuguese (Brazil), English (USA), French (Canada)",https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/
Industrial Professional and Skilled 7.1 Solution,"Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".",49,"A,B",yes,no,Entry-Level,"Portuguese (Brazil), Swedish, English International, Dutch, Italian, French, English (USA), French (Canada), Norwegian, German",https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/
Installation and Repair Technician Solution,"The Installation and Repair Technician solution is designed for use with entry-level field technician positions in the telecommunications industry. The solution is focused on positions that involve installing, repairing, and maintaining telecommunications equipment, along with some customer interaction, and little to no specific sales components. Sample tasks may include: installing or repairing end-user telecommunications equipment and services, interacting with customers, and installing, or repairing telecommunications network infrastructure. Potential job titles that use this solution are: Installer, Service Technician, and Customer Installation Technician. There are multiple configurations of this solution available.",49,"A,B,P,S",yes,yes,Professional Individual Contributor,English (USA),https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/
Insurance Account Manager Solution,"The Insurance Account Manager solution is for mid-level insurance professionals that manage the day-to-day operations and activities of customer accounts. Sample tasks for this job include, but are not limited to: soliciting sales of new or additional products or services; interacting with customers to provide information in response to inquiries about products and services and to handle and resolve complaints; keeping records of customer interactions and transactions; resolving customers' service or billing complaints; determining charges for services requested; collecting deposits or payments; and arranging for billing. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. Multiple configurations of this solution are available.",48,"A,B,P,S",yes,yes,Mid-Professional,English (USA),https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/
Insurance Administrative Assistant Solution,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for this job include, but are not limited to: answering telephones; managing files and records; sorting mail; handling information requests; greeting customers; and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. Multiple configurations of this solution are available.",24,"A,B,P,S",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/
Insurance Agent Solution,"The Insurance Agent solution is for mid-level professional positions in the insurance industry that sell property, casualty, automotive, or other types of insurance. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suit individual customers; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when claims are made on a policy. Potential job titles that use this solution are: Insurance Sales Professional; Insurance Sales Agent; Producer; Insurance Agent. Multiple configurations of this solution are available.",46,"A,B,P",yes,yes,Mid-Professional,English (USA),https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/
Insurance Director Solution,"The Insurance Director solution is for senior-level management positions in the insurance companies that oversee sales functions across multiple brokerages, offices, or agencies or geographic territories. Sample tasks for this job includes, but is not limited to: directing a group of sales managers or agency managers; having profit and loss responsibility for a district or region; and aligning work with overall company goals. Potential job titles that use this solution are: Regional Managers, Associate Directors, and Managing Directors. Multiple configurations of this solution are available.",49,"A,B,P",yes,yes,"Director, Front Line Manager, Manager, Supervisor",English (USA),https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/
Insurance Sales Manager Solution,"The Sales Manager solution is for entry- to mid-level management positions that involve supervising employees working in an insurance organization and have a substantial portion of their job performance based on sales. Sample tasks for this job include, but are not limited to: planning and preparing work schedules; promoting products to customers; training subordinates; analyzing sales statistics gathered by staff to determine sales potential and monitor preferences of customers; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Insurance Sales Manager, Sales Manager, Assistant Sales Manager, and Sales Supervisor. Multiple configurations of this solution are available.",51,"A,B,P,S",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/
Manager - Short Form,"The Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems. Potential job titles that use this solution are: Manager, Store Manager, and Branch Manager.",57,"A,B,K,P,S",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/
Manager + 7.0 Solution,"Our Manager + 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.",53,"A,B,C",yes,yes,"Front Line Manager, Manager","English (USA), English International",https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/
Manager + 7.1 (Americas),"Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"".",63,"B,C,P",yes,yes,"Director, Executive, Front Line Manager, Manager","English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada)",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/
Manager + 7.1 (International),"Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French, Brazilian Portuguese, Danish, Dutch, Finnish, Italian, Norwegian, Swedish.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"".",63,"B,C,P",yes,yes,"Director, Executive, Front Line Manager, Manager","French (Canada), Dutch, Finnish, Norwegian, Swedish, Portuguese (Brazil), Danish, English (USA), Italian",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/
Manager 7.0 Solution,"Our Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.",35,"B,C",yes,no,"Manager, Front Line Manager","French (Canada), Latin American Spanish, English International, English (USA)",https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/
Manager 7.1 (Americas),"Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Danish, Finnish, Canadian French, Italian, Norwegian, French, German, English International,.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International"".",40,"B,C,P",yes,no,"Executive, Director, Front Line Manager, Manager,","Portuguese (Brazil), French (Canada)",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/
Manager 7.1 (International),"Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Danish, Finnish, Canadian French, Italian, Norwegian, French, German, English International,.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International"".",40,"B,C,P",yes,no,"Director, Executive, Front Line Manager, Manager","English (USA), English International, French, German, Portuguese (Brazil), Danish, Finnish, Italian, Norwegian, Swedish, Dutch, French (Canada)",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/
Manager 8.0 JFA,The Manager 8.0 Job-Focused Assessment is designed for candidates applying to their first leadership positions. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. •The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. •The Management Potential scale measures the potential for managerial success across industry type and functional area.,26,"B,K,P",yes,no,Manager,"English (USA), English International",https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/
Manager 8.0+ JFA,"The Manager 8.0+ Job-Focused Assessment is designed for candidates applying to their first leadership positions and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Inductive Reasoning. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. •The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. •The Management Potential scale measures the potential for managerial success across industry type and functional area.",44,"B,K,P",yes,no,Manager,"English (USA), English International",https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/
Manufacturing Production Team Member,"The Manufacturing Production Team Member solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace for production workers. This solution measures a candidate’s error checking abilities and general tendency to behave safely and efficiently in the workplace. The solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and error checking. The Manufacturing Production Team Member solution is designed for selection to job titles, such as: Production Worker, Material Handler, Driver, Forklift Operator, Crewman, Mechanic, and Receiver.",35,"A,B",yes,no,Entry-Level,"English (USA),",https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/
Manufacturing Skilled Maintenance Worker,"The Manufacturing Skilled Maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace. This solution measures a candidate’s mechanical comprehension abilities and general tendency to behave safely and efficiently in the workplace. This solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and mechanical comprehension. The Manufacturing Skilled Maintenance solution is designed for selection to job titles, such as: Industrial Machinery Mechanic, Automotive Service Technician, Small Engine Mechanic, Mobile Equipment Service Technician, and Diesel Service Technician.",45,"A,B",yes,no,Entry-Level,English(USA),https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/
Network Engineer/Analyst Solution,"The Network Engineer/Analyst solution is designed for use with professional level telecommunications engineers and network analysts. The solution is focused on positions that involve the design and monitoring of complex telecommunications networks, and places an emphasis on reasoning ability, attention to detail, and multitasking. Sample tasks may include: designing networks or network elements, ensuring proper network operation and performance, and monitoring and troubleshooting electronic data and communication networks. Potential job titles that use this solution are: Network Engineer, Network Analyst, and Communications Engineer. There are multiple configurations of this solution available.",41,"P,S,K,B,A",yes,yes,Professional Individual Contributor,English (USA),https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/
Nurse Leader Solution,"The Nurse Leader solution is an assessment used for job candidates applying to entry-level nurse leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning nurses to specific duties; coaching nurses on attendance, conduct, schedule adherence, and work related tasks; developing nurses' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others in a healthcare setting. Potential job titles that use this solution are: Nurse Leader or Nurse Manager. There are multiple configurations and versions of this solution available.",59,"S,A,B,P",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/
Nurse Solution,"The Nurse solution is for professional-level healthcare nursing positions that require licensing or registration. Sample tasks for these jobs include, but are not limited to: assessing the health conditions of patients, documenting patients' medical information, creating a nursing care plan, and educating patients' about healthcare issues. Potential job titles that use this solution are: Registered Nurse, Charge Nurse, Licensed Practical Nurse, and Clinic Nurse. Multiple configurations of this solution are available.",66,"P,A,B",yes,yes,Professional Individual Contributor,English (USA),https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/
Nursing Assistant Solution,"The Nursing Assistant solution is for entry-level positions in a clinic or hospital environment. Sample tasks for this job include, but are not limited to: turning and re-positioning bedridden patients, feeding patients who cannot feed themselves, and observing patients' conditions, including measuring and recording food intake. Potential job titles that use this solution are: Certified Nursing Assistant, Nursing Aide, Patient Care Technician, and Hospital Attendant. Multiple configurations of this solution are available.",41,"A,B,P",yes,no,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/
Personal Banker - Short Form,"The Personal Banker – Loan Officer solution is for entry to mid-level financial institution positions. Sample tasks for this job would include, but are not limited to: acquiring, retaining and expanding new and existing customer relationships, discovering customer needs, making the best recommendation, completing sales, proactively contacting & meeting customers, and asking for referrals.",30,"A,B,K,P,S",yes,no,"Entry-Level, Mid-Professional",English (USA),https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/
Phone Banker - Short Form,"This solution is for entry to mid-level financial institution positions. Candidates are asked to answer multiple choice questions to assess learning potential, dependability, persistence and planfulness, sales focus, customer focus, and working with information.",40,"A,B,P",yes,no,"Entry-Level, Mid-Professional",English (USA),https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/
Prep/Line Cook Solution,"The Prep/Line Cook solution is for entry-level food preparation positions in the hospitality industry. Sample tasks include preparing ingredients and final food items for consumption. The solution is focused on work ethic and performing quality work with no direct customer contact or sales requirements. Potential job titles that use this solution are: Cook, Line Cook, Food Preparer, Prep Cook and Chef. Multiple configurations of this solution are available.",24,"A,B,P",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/
Professional + 7.0 Solution,"Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.
Report Language Availability: English (USA).",51,"A,B,C",yes,yes,"Mid-Professional, Professional Individual Contributor","English International, English (USA)",https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/
Professional + 7.1 (Americas),"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.",56,"B,C,P",yes,yes,"General Population, Mid-Professional, Professional Individual Contributor",Latin American Spanish,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/
Professional + 7.1 (International),"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.",56,"B,C,P",yes,yes,"General Population, Mid-Professional, Professional Individual Contributor","Chinese Traditional, Dutch, Chinese Simplified, French, English International, Swedish, Italian, Norwegian, Danish, English (USA), French (Canada), Portuguese (Brazil), Spanish, German, Portuguese, Finnish",https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/
Professional 7.0 Solution,"Our Professional 7.0 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.
Report Language Availability: English (USA), Latin American Spanish.",33,"B,C",yes,no,"Mid-Professional, Professional Individual Contributor","English (USA), English International, French (Canada), Latin American Spanish",https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/
Professional 7.1 (International),"Our Professional 7.1 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.",33,"C,B",yes,no,"Professional Individual Contributor, Mid-Professional","English International, Swedish, Italian, Finnish, Dutch, French, English (USA), German, Portuguese (Brazil), Latin American Spanish, French (Canada), Danish, Norwegian",https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/
Professional 8.0 JFA,The Professional 8.0 Job-Focused Assessment is designed for all non-managerial professional/individual contributor positions. It measures behaviors that underlie successful performance in a professional/individual contributor setting across a wide range of industries.,16,"B,K,P",yes,no,Professional Individual Contributor,"English International, English (USA),",https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/
Professional/Individual Contributor - Short Form,"The Professional/Individual Contributor solution is for mid to upper-level, non-managerial positions. Sample tasks for these jobs include, but are not limited to: meeting with clients to determine their needs, analyzing data sets, and working with co-workers to complete projects. Potential job titles that use this solution are: Engineer, Human Resource Consultant, and IT Analyst.",44,"A,B,P,S",yes,yes,"Mid-Professional, Professional Individual Contributor","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/
Project Manager - Short Form,"The Project Manager solution is designed for positions that lead medium to large scale projects with multiple team members involved. Sample tasks for this job include, but are not limited to: guiding, supervising, and influencing project team members, scoping project resource requirements, and managing project timelines, scope and budgets. Potential job titles that ues this solution are: Project Manager, Implementation Manager, Construction Project Manager and IT Project Manager.",49,"A,B,P,S",yes,yes,Professional Individual Contributor,"English (USA),",https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/
Proof Operator - Processing Specialist -Short Form,"The Proof Operator – Processing Specialist solution is for entry-level positions that perform basic daily bank operations procedures such as the processing of deposits, reconciling accounts, and handling money transfers. Potential job titles include: Proof Operator, Bank Operations Processor, and Operations Specialist",30,S,yes,no,Entry-Level,"English (USA),",https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/
Reservation Agent Solution,"The Reservation Agent solution is designed for entry-level positions within the hospitality industry. Sample tasks may indlude making, updating, or canceling reservations; looking up information and entering information into a computer; providing information on the hotel and the services offered. Potential titles that use this solution are: Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.",43,"A,P,S,B",yes,yes,Entry-Level,"English (USA),",https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/
Restaurant Manager Solution,"The Restaurant Manager solution is designed for management level positions in the hospitality industry. Sample tasks include purchasing food and supplies, accounting, setting policies and procedures, and managing staff. The solution is focused on managing staff, solving problems, making good decisions and maintaining focus on the customer. Potential job titles that use this solution are: Restaurant Manager and General Manager. Multiple configurations of this solution are available.",48,"A,B,P,S",yes,yes,"Front Line Manager, Manager, Supervisor","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/
Restaurant Supervisor Solution,"The Restaurant Supervisor solution is designed for management level positions in the hospitality industry. Sample tasks include serving as a staff resource, setting schedules and monitoring daily operations. The solution is focused on solving problems, making good decisions and maintaining focus on the customer. Potential job titles that use this solution are: Restaurant Supervisor and Restaurant Staff Supervisor. Multiple configurations of this solution are available",53,"A,B,P",yes,yes,"Front Line Manager, Manager, Supervisor","English (USA),",http://shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/
Retail Consultant Solution,"The Retail Consultant solution is for entry to mid-level retail positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships. Potential job titles that use this solution are: Sales Consultant, Sales Representative, and Retail Sales Associate. There are multiple configurations and versions of this solution available.",45,"A,B,P",yes,yes,Entry-Level,"English (USA),",https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/
Retail Manager w/ Sales Solution,"The Retail Manager with Sales solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees but also have a significant portion of their job performance based on sales and customer service. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; promoting products to customers; training subordinates; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Assistant Manager, Sales Supervisor, Retail Manager, and Floor Leader. There are multiple configurations and versions of this solution available.",43,"A,B,P",yes,yes,"Front Line Manager, Manager, Supervisor","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/
Retail Sales Associate Solution,"The Retail Sales Associate solution is for entry-level retail positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Potential job titles that use this solution are: Sales Representative, Retail Sales Associate, and Sales Clerk. There are multiple configurations and versions of this solution available.",29,"A,B,P",yes,yes,Entry-Level,"English (USA),",https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/
Sales Director Solution,"The Sales Director solution is for mid- to senior-level sales management positions that oversee the sales function across multiple offices or geographic territories. Sample tasks for these jobs include, but are not limited to: directing a group of sales supervisors or sales managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals. Potential job titles that use this solution are: Regional Sales Director, District Sales Manager, and Sales Director. Multiple configurations of this solution are available.",59,"A,B,P",yes,yes,"Director, Front Line Manager, Manager","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/
